Country;2022;2023;2020;2018;2016;2014;2012;2010;2008;2006;;
Norwegen;98.10;97.50;98.10;98.70;99.30;99.30;99.30;98.00;96.80;95.50;;
Neuseeland;96.10;93.70;92.50;92.60;92.60;92.60;92.60;92.60;91.90;90.10;;
Island;95.20;91.80;93.70;95.80;95.00;95.80;96.50;96.50;96.50;97.10;;
Schweden;93.90;92.60;92.60;93.90;93.90;97.30;97.30;95.00;98.80;98.80;;
Finnland;92.90;92.70;92.00;91.40;90.30;90.30;90.60;91.90;92.50;92.50;;
Dänemark;92.80;90.90;91.50;92.20;92.00;91.10;95.20;95.20;95.20;95.20;;
Schweiz;91.40;89.00;88.30;90.30;90.90;90.90;90.90;90.90;91.50;90.20;;
Irland;91.30;90.00;90.50;91.50;91.50;87.20;85.60;87.90;90.10;90.10;;
Niederlande;90.00;88.80;89.60;88.90;88.00;89.20;89.90;89.90;95.30;96.60;;
Taiwan;89.90;89.90;89.40;77.30;77.90;76.50;75.70;75.20;78.20;78.20;;
Uruguay;89.10;88.50;86.10;83.80;81.70;81.70;81.70;81.00;80.80;79.60;;
Kanada;88.80;88.70;92.40;91.50;91.50;90.80;90.80;90.80;90.70;90.70;;
Luxemburg;88.10;86.80;86.80;88.10;88.10;88.80;88.80;88.80;91.00;91.00;;
Deutschland;88.00;86.70;86.70;86.80;86.30;86.40;83.40;83.80;88.20;88.20;;
Australien;87.10;89.00;89.60;90.90;90.10;90.10;92.20;92.20;90.90;90.90;;
Japan;83.30;81.50;81.30;79.90;79.90;80.80;80.80;80.80;82.50;81.50;;
Costa Rica;82.90;80.70;81.60;80.70;78.80;80.30;81.00;80.40;80.40;80.40;;
Großbritannien;82.80;81.00;85.40;85.30;83.60;83.10;82.10;81.60;81.50;80.80;;
Chile;82.20;79.20;82.80;79.70;77.80;78.00;75.40;76.70;78.90;78.90;;
Österreich;82.00;80.70;81.60;82.90;84.10;85.40;86.20;84.90;84.90;86.90;;
Mauritius;81.40;80.80;81.40;82.20;82.80;81.70;81.70;80.40;80.40;80.40;;
Frankreich;80.70;79.90;79.90;78.00;79.20;80.40;78.80;77.70;80.70;80.70;;
Spanien;80.70;79.40;81.20;80.80;83.00;80.50;80.20;81.60;84.50;83.40;;
Korea, Republik;80.30;81.60;80.10;80.00;79.20;80.60;81.30;81.10;80.10;78.80;;
Griechenland;79.70;75.60;73.90;72.90;72.30;74.50;76.50;79.20;81.30;81.30;;
Tschechische Republik;79.70;77.40;76.70;76.90;78.20;79.40;81.90;81.90;81.90;81.70;;
Estland;79.60;78.40;78.40;79.70;78.50;77.40;76.10;76.80;76.80;77.40;;
Portugal;79.50;78.20;79.00;78.40;78.60;77.90;79.20;80.20;80.50;81.60;;
Israel;79.30;79.70;78.40;77.90;78.50;76.30;75.30;74.80;74.80;72.80;;
Vereinigte Staaten;78.50;78.50;79.20;79.60;79.80;81.10;81.10;81.80;82.20;82.20;;
Slowenien;77.50;75.40;75.40;75.00;75.10;75.70;78.80;76.90;79.60;79.60;;
Botsuana;77.30;77.30;76.20;78.10;78.70;78.70;78.50;76.30;74.70;76.00;;
Malta;77.00;75.70;76.80;82.10;83.90;83.90;82.80;82.80;83.90;83.90;;
Italien;76.90;76.80;77.40;77.10;79.80;78.50;77.40;78.30;79.80;77.30;;
Cabo Verde;76.50;76.50;76.50;78.80;79.40;78.10;79.20;79.40;78.10;74.30;;
Belgien;76.40;75.10;75.10;77.80;77.70;79.30;80.50;80.50;81.60;81.50;;
Zypern;73.80;74.30;75.60;75.90;76.50;74.00;72.90;72.90;77.00;76.00;;
Lettland;73.70;73.10;72.40;73.80;73.10;74.80;70.50;70.50;72.30;73.70;;
Litauen;73.10;71.80;71.30;75.00;74.70;75.40;72.40;72.40;73.60;74.30;;
Malaysia;73.00;72.40;71.90;68.80;65.40;64.90;64.10;61.90;63.60;59.80;;
Trinidad und Tobago;71.60;71.60;71.60;71.60;71.00;69.90;69.90;71.60;72.10;71.80;;
Jamaika;71.30;71.30;71.30;70.20;73.90;73.90;73.90;72.10;72.10;73.40;;
Slowakei;70.70;70.30;69.70;71.00;72.90;73.50;73.50;73.50;73.30;74.00;;
Timor-Leste;70.60;70.60;70.60;71.90;72.40;72.40;71.60;72.20;72.20;64.10;;
Südafrika;70.50;70.50;70.50;72.40;74.10;78.20;77.90;77.90;79.10;79.10;;
Polen;70.40;68.00;68.50;66.70;68.30;74.70;71.20;70.50;73.00;73.00;;
Indien;70.40;69.10;66.10;72.30;78.10;79.20;75.20;72.80;78.00;76.80;;
Suriname;69.50;68.20;68.20;69.80;67.70;67.70;66.50;66.50;65.80;65.20;;
Panama;69.10;68.50;71.80;70.50;71.30;70.80;70.80;71.50;73.50;73.50;;
Argentinien;68.50;68.10;69.50;70.20;69.60;68.40;68.40;68.40;66.30;66.30;;
Brasilien;67.80;68.60;69.20;69.70;69.00;73.80;71.20;71.20;73.80;73.80;;
Philippinen;67.30;66.20;65.60;67.10;69.40;67.70;63.00;61.20;61.20;64.80;;
Kolumbien;67.20;64.80;70.40;69.60;66.70;65.50;66.30;65.50;65.40;64.00;;
Indonesien;67.10;67.10;63.00;63.90;69.70;69.50;67.60;65.30;63.40;64.10;;
Thailand;66.70;60.40;60.40;46.30;49.20;53.90;65.50;65.50;68.10;56.70;;
Ungarn;66.40;65.00;65.60;66.30;67.20;69.00;69.60;72.10;74.40;75.30;;
Bulgarien;65.30;66.40;67.10;70.30;70.10;67.30;67.20;68.40;70.20;71.00;;
Namibia;65.20;65.20;65.20;62.50;63.10;62.40;62.40;62.30;64.80;65.40;;
Kroatien;65.00;65.00;65.00;65.70;67.50;69.30;69.30;68.10;70.40;70.40;;
Sri Lanka;64.70;61.40;61.40;61.90;64.80;56.90;57.50;66.40;66.10;65.80;;
Rumänien;64.50;64.30;64.00;63.80;66.20;66.80;65.40;66.00;70.60;70.60;;
Montenegro;64.50;60.20;57.70;57.40;57.20;59.40;60.50;62.70;64.30;65.70;;
Ghana;64.30;65.00;65.00;66.30;67.50;63.30;60.20;60.20;53.50;53.50;;
Albanien;64.10;61.10;60.80;59.80;59.10;56.70;56.70;58.60;59.10;59.10;;
Dominikanische Republik;63.90;64.50;63.20;65.40;66.70;66.70;64.90;62.00;62.00;61.30;;
Mongolei;63.50;64.20;64.80;65.00;66.20;66.20;63.50;63.60;66.00;66.00;;
Guyana;63.40;62.50;60.10;66.70;62.50;59.10;60.50;60.50;61.20;61.50;;
Serbien;63.30;63.60;62.20;64.10;65.70;67.10;63.30;63.30;64.90;66.20;;
