Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Merchandise imports by the reporting economy (current US$);TM.VAL.MRCH.WL.CD;556900000;601500000;520600000;520000000;668900000;855300000;933600000;1123900000;1393000000;1384400000;null;null;null;3379000000;5425800000;10345900000;12886700000;14641600000;10372000000;9695000000;10849000000;13515000000;11845000000;18103000000;14494000000;11408000000;9355000000;9369000000;8171000000;12807000000;18721600000;29677500000;29870000000;20037000000;11795000000;12313000000;15117000000;15907800000;14323000000;12683000000;14428150460;16684080753;20682088073;26297665721;33270671631;39265637524;41062327970;45513287271;58794964562;50155760456;66838096090;61946201903;59729311722;48911545375;52918645995;40455177824;43185370605;52182016378;41802114321;26714452733;21304841466;null;null
Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports);TM.VAL.MRCH.R4.ZS;1.687915245;2.51039069;0.384172109;0.384615385;0.448497533;0.806734479;0.621251071;0.934246819;0.502512563;0.101126842;null;null;null;0.361053566;0.418371484;0.730724248;0.336005339;0.18986996;0.019282684;0.041258381;0.119826712;0.429152793;0.261713803;0.375628349;0.524354905;0.499649369;0.277926243;0.619062867;1.358462856;1.546029515;0.177869413;0.072445455;0.057248075;0.461645955;0.662144977;0.518151547;0.648276774;0.682055344;null;null;0.866191244;0.836627052;0.786464343;1.114167345;0.958802403;0.537944094;0.696124168;0.636691143;0.479498177;0.839855205;0.478022942;0.384312726;0.350270442;0.264172127;0.26607592;0.268372977;0.32024597;0.306662352;0.22234555;0.189347596;0.206570169;null;null
Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports);TM.VAL.MRCH.OR.ZS;5.243311187;5.40315877;4.053015751;3.865384615;4.484975333;3.986905179;5.623393316;5.062728001;4.271356784;4.781854955;null;null;null;6.726842261;8.586752184;8.476787906;7.579907967;6.150967107;3.644427304;5.992779783;6.811687713;10.7954125;15.47488392;14.95332265;14.85442252;18.80259467;16.09834313;20.62119757;17.61106352;17.70906535;11.39913255;9.180355488;8.826247071;15.85367071;19.99745655;25.55997726;29.23728253;25.1511837;21.84598199;22.31333281;29.44575088;28.74975623;23.25256259;26.24567545;20.87490562;22.08820986;21.80769344;23.80584259;23.26011186;24.14643013;24.30411537;36.19953012;41.00850146;43.86525915;44.63325164;46.84551723;50.02590621;43.86584261;46.31328202;59.88421307;60.79940174;null;null
Rural population (% of total population);SP.RUR.TOTL.ZS;66.265;65.611;64.949;64.282;63.609;62.932;62.248;61.443;60.563;59.679;58.788;57.89;56.986;56.08;55.168;54.253;53.334;52.53;51.79;51.049;50.307;49.566;48.825;48.084;47.343;46.605;45.867;45.283;44.743;44.206;43.67;43.135;42.347;41.481;40.62;39.764;38.913;38.147;37.412;36.682;35.958;35.242;34.532;33.828;33.131;32.442;31.761;31.136;30.542;29.955;29.374;28.8;28.245;27.705;27.17;26.642;26.12;25.606;25.102;24.609;24.126;23.655;23.193
Population, female;SP.POP.TOTL.FE.IN;10413283;10695491;10990293;11301097;11629176;11970547;12318631;12668971;13024418;13394993;13785014;14183729;14588585;15009757;15452940;15913627;16386803;16890402;17433233;18026297;18678222;19574777;20521074;21313380;22133113;22964786;23807989;24648094;25458460;26240665;27321946;28427220;29125341;29325118;29449209;29863681;30277819;30733747;31238387;31759367;32308864;32888440;33228012;33525382;34033455;34551612;35065378;35569016;36059993;36554728;37072743;37559635;38062269;38640588;39405613;40336099;41105603;41715123;42283609;42772045;43155308;43496643;43835978
Sex ratio at birth (male births per female births);SP.POP.BRTH.MF;1.06;1.062;1.065;1.068;1.071;1.074;1.073;1.069;1.061;1.055;1.057;1.061;1.063;1.067;1.069;1.068;1.063;1.057;1.048;1.037;1.023;1.012;1.007;1.006;1.007;1.009;1.011;1.013;1.018;1.024;1.029;1.031;1.033;1.035;1.037;1.038;1.039;1.04;1.04;1.041;1.042;1.043;1.044;1.044;1.046;1.047;1.048;1.049;1.05;1.051;1.051;1.052;1.053;1.054;1.055;1.056;1.057;1.058;1.057;1.056;1.055;1.054;null
Population ages 75-79, female (% of female population);SP.POP.7579.FE.5Y;0.777511761;0.770081523;0.763378157;0.755479756;0.744433655;0.729674258;0.712522328;0.693414643;0.67490921;0.660735719;0.65157714;0.646614136;0.64513794;0.646006439;0.647527288;0.648268305;0.648338788;0.64738246;0.644868894;0.64273879;0.640663211;0.635223073;0.630727222;0.627870834;0.620787039;0.609655134;0.595617282;0.579038688;0.563266603;0.55340442;0.5483742;0.549111018;0.558146245;0.577446962;0.606114752;0.63923465;0.680655037;0.730994499;0.781589664;0.824939314;0.859457627;0.883457848;0.900730972;0.913680864;0.926586782;0.942808399;0.963274929;0.992022101;1.02324339;1.053338435;1.081801527;1.110407475;1.139849282;1.165960518;1.180583096;1.185112125;1.191984703;1.202858733;1.218189521;1.244292855;1.283899986;1.327841553;1.376532553
Population ages 65 and above, total;SP.POP.65UP.TO;919154;921395;923932;928175;935824;946337;959554;975230;992533;1011408;1031799;1053762;1077165;1101628;1126280;1150004;1172563;1194298;1214832;1237139;1263396;1301090;1339769;1372407;1414645;1467373;1530404;1603968;1683769;1765222;1855201;1945627;2023358;2085307;2148970;2227807;2311857;2402320;2496423;2593747;2694744;2797854;2895869;2995048;3102190;3206743;3310941;3420696;3533643;3652380;3783592;3927533;4087509;4264679;4480084;4733342;5001217;5284158;5581136;5890789;6204285;6484407;6749976
Population ages 65 and above, female;SP.POP.65UP.FE.IN;454156;458511;463276;468898;475665;483075;491185;499794;508764;518648;529516;541437;554274;567748;581007;592835;603334;612935;621601;631845;645178;663069;682758;702558;727070;756645;791682;832216;876200;920963;969171;1017768;1061215;1097996;1135855;1180637;1229232;1282225;1336267;1392104;1450381;1509146;1565271;1621358;1679996;1735328;1789666;1848152;1907275;1968923;2038429;2114849;2200463;2294683;2404816;2531938;2668048;2813701;2967865;3129346;3293933;3443448;3586742
Population ages 60-64, female (% of female population);SP.POP.6064.FE.5Y;2.339329489;2.318584532;2.294852271;2.270545063;2.248972756;2.227667625;2.210010097;2.197423927;2.180849763;2.149515948;2.102779874;2.044402356;1.97513323;1.904734304;1.85029845;1.819918237;1.807378169;1.806949296;1.820069696;1.850216432;1.892265177;1.93790458;1.999512794;2.070680435;2.119322254;2.142088279;2.140785554;2.115068208;2.079022103;2.051723918;2.024958289;2.010279197;2.024304161;2.063676301;2.104879965;2.129320526;2.152354501;2.174033645;2.190782165;2.199721144;2.201030618;2.196846403;2.19977045;2.208229872;2.222671747;2.258006081;2.313415781;2.385968451;2.470281921;2.597279619;2.759729702;2.918296425;3.070289898;3.215570891;3.313656145;3.368899159;3.441455414;3.533121549;3.633187938;3.740079531;3.8403294;3.923365994;3.995447575
