Country,2024,2023,2022
Liechtenstein,92.92,99.1,99.53
Andorra,92.26,98.6,98.58
Micronesia,91.51,89.6,94.34
Tuvalu,90.98,94.3,92.92
Cayman Islands,90.85,99.5,4.25
Niue,90.43,,
Anguilla,89.47,91.9,
San Marino,89.34,93.4,93.87
Bhutan,89.02,83.4,76.89
Aruba,88.62,97.6,97.64
Uruguay,87.72,82,88.21
Marshall Islands,87.71,93.4,
Barbados,87.63,93.8,91.51
Tonga,87.33,90,89.15
American Samoa,87.3,91.9,
Greenland,87.08,98.1,
Samoa,87.05,90.5,87.74
Monaco,87.05,93.4,93.87
Palau,87.05,89.6,88.68
Kiribati,87.04,91,89.62
Dominica,86.98,95.7,95.75
Singapore,86.94,97.2,97.17
Iceland,86.49,95.3,95.28
Brunei,86.44,96.7,94.81
Grenada,86.38,86.3,85.38
Cook Islands,86,94.8,
Costa Rica,85.98,83.9,83.49
New Zealand,85.55,96.2,96.23
Japan,85.27,81.5,86.79
Nauru,84.76,82.9,
New Caledonia,84.64,,
Antigua and Barbuda,84.23,80.6,82.55
Luxembourg,84.22,87.7,86.32
Macau,83.9,88.2,90.09
Bahamas,83.82,84.8,79.25
Saint Lucia,83.63,77.8,
Saint Vincent and the Grenadines,83.63,86.3,85.38
Botswana,83.53,87.2,87.26
Guam,82.85,78.2,
Switzerland,82.65,88.6,92.45
Czechia,82.5,82.5,75
United States Virgin Islands,82.48,63,
Bermuda,82.48,86.7,84.43
Vanuatu,82.3,81,83.02
Qatar,82.14,84.4,83.96
Lithuania,81.94,72.5,69.34
Taiwan,81.55,74.4,
Seychelles,81.55,73.9,72.64
Saint Kitts and Nevis,81.48,80.6,
Norway,81.32,77.7,76.42
Finland,80.12,71.1,79.72
Malta,79.64,77.3,80.66
Australia,79.44,79.6,81.6
Mauritius,79.39,74.9,75.47
United Arab Emirates,79.37,70.1,70.28
Belize,79.3,65.4,59.43
Cape Verde,79.04,79.1,81.13
Denmark,79.03,76.8,77.36
Solomon Islands,78.7,60.7,57.08
Slovenia,78.21,75.8,70.75
Ireland,78.02,78.7,78.77
Estonia,77.84,69.2,71.7
Fiji,77.82,73,73.11
South Korea,76.82,68.2,64.62
Slovakia,76.73,64.5,59.91
Hong Kong,76.67,69.7,66.51
Oman,76.61,65.9,62.74
Latvia,76.49,66.8,60.38
