Country,2025,2024,2023,2022,2021,2020,2019,2018,2016,2015,2014,2013
Denmark,90,90,90,90,90,90,90,89,89,89,88,88
Norway,89,90,90,89,90,89,89,89,88,88,88,87
Finland,87,87,87,87,88,87,87,87,88,87,84,87
Sweden,86,85,85,86,86,86,86,86,86,87,85,89
Germany,84,83,83,83,84,84,84,84,84,83,80,79
Netherlands,84,83,83,83,83,84,84,85,86,85,83,85
New Zealand,83,83,83,83,83,83,82,83,83,84,83,84
Austria,81,80,80,80,81,82,82,82,84,83,82,81
Estonia,80,81,82,81,81,81,81,80,79,79,76,76
Canada,80,79,80,80,80,81,81,81,81,79,78,79
Australia,79,78,78,79,79,80,80,81,81,81,80,83
Belgium,78,79,78,79,79,79,79,77,79,78,76,75
United Kingdom,78,77,78,79,79,79,80,81,81,80,78,78
Singapore,78,78,78,78,78,79,80,80,82,82,79,80
Japan,77,79,79,79,79,78,78,79,78,79,78,81
Hong Kong SAR,73,73,73,73,75,76,77,77,78,77,76,79
Spain,72,71,71,73,73,73,72,70,70,70,67,73
France,72,72,72,73,72,73,74,74,72,75,74,76
Czech Republic,72,73,73,73,73,73,73,74,75,74,67,67
South Korea,71,73,74,73,74,73,73,72,73,79,77,73
USA,68,69,70,71,69,72,72,73,74,74,71,73
Uruguay,67,71,72,71,71,71,71,71,73,73,69,68
Portugal,66,68,68,70,70,70,71,72,72,71,66,66
Slovenia,65,68,69,68,68,69,67,67,68,67,65,66
Italy,64,67,67,67,66,66,65,65,65,65,63,63
Poland,64,64,64,64,64,66,66,67,72,72,67,72
Costa Rica,64,67,68,68,68,68,69,69,69,69,68,69
Chile,64,66,66,66,66,67,68,67,69,69,68,69
UAE,63,64,65,65,64,65,64,65,66,65,65,64
Romania,63,63,63,63,63,63,64,66,66,64,59,61
Namibia,61,61,62,63,62,63,62,62,62,62,61,60
Rwanda,61,63,63,62,62,62,61,61,61,61,60,59
Mauritius,60,62,61,61,61,61,61,61,61,61,61,61
Croatia,60,61,61,61,61,61,61,61,61,61,57,58
Georgia,60,60,60,60,61,60,61,61,66,66,60,63
Greece,59,61,61,61,61,61,62,61,61,62,59,60
South Africa,58,59,59,58,58,59,58,59,59,58,55,56
Botswana,58,59,59,59,60,60,59,59,58,63,67,70
Argentina,56,55,56,55,56,58,58,58,56,52,50,51
Malaysia,56,57,57,57,57,58,55,54,54,55,58,60
Ghana,55,55,55,58,58,57,58,59,58,60,57,59
Jordan,55,55,55,55,55,57,57,60,59,57,57,57
Bulgaria,54,55,56,54,54,55,54,54,55,56,53,55
Senegal,54,53,54,55,55,55,55,55,58,57,54,54
Kazakhstan,54,53,53,53,52,52,52,52,51,50,47,46
Indonesia,53,53,53,52,52,53,52,52,52,51,52,52
Mongolia,53,54,53,53,54,53,55,54,54,54,51,52
Ukraine,52,51,51,50,51,51,50,50,49,47,47,46
Panama,52,53,53,52,52,52,52,52,53,53,50,52
Hungary,50,51,51,52,52,53,53,55,57,58,61,65
India,50,49,49,50,50,51,51,52,52,51,48,46
Brazil,50,49,49,49,50,52,53,54,56,55,54,58
Thailand,50,50,50,50,51,51,50,51,52,52,52,53
China,47,47,47,47,47,48,49,50,49,48,45,48
Mexico,44,42,42,43,44,44,45,46,46,48,45,47
Russian Fed.,44,44,44,45,46,47,47,47,46,47,45,43
Turkey,42,41,41,42,42,43,43,42,44,46,50,52
Nigeria,41,41,41,41,43,43,43,44,44,42,39,40
Pakistan,39,39,39,39,39,39,39,39,39,38,36,37
Egypt,35,36,35,35,36,36,36,36,36,43,45,50
Afghanistan,34,35,34,33,35,36,35,35,35,35,34,34
Venezuela,25,26,26,27,27,27,28,29,28,31,31,36
